Designator,Val,Package,"Mid X","Mid Y",Rot,Side
"C1","0.1u","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",-66.462500,-3.100000,0.000000,bottom
"C2","0.1u","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",-41.062500,-17.100000,0.000000,bottom
"C3","0.1u","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",-41.100000,-34.900000,0.000000,bottom
"C4","0.1u","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",-41.162500,-52.700000,0.000000,bottom
"C5","0.1u","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",-70.762500,-3.100000,180.000000,bottom
"C6","0.1u","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",-45.262500,-17.100000,180.000000,bottom
"C7","0.1u","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",-45.300000,-34.900000,180.000000,bottom
"C8","0.1u","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",-45.237500,-52.700000,180.000000,bottom
"C9","0.1u","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",-53.762500,-5.700000,0.000000,bottom
"C10","0.1u","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",-53.762500,-23.500000,0.000000,bottom
"C11","0.1u","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",-53.837500,-41.300000,0.000000,bottom
"C12","0.1u","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",-53.862500,-59.100000,0.000000,bottom
"C13","0.1u","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",-45.100000,-79.162500,-90.000000,bottom
"C14","0.1u","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",-57.962500,-5.700000,180.000000,bottom
"C15","0.1u","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",-57.962500,-23.500000,180.000000,bottom
"C16","0.1u","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",-57.937500,-41.300000,180.000000,bottom
"C17","0.1u","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",-57.937500,-59.100000,180.000000,bottom
"C18","0.1u","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",-66.462500,-12.100000,0.000000,bottom
"C19","0.1u","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",-41.062500,-26.000000,0.000000,bottom
"C20","0.1u","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",-41.100000,-43.800000,0.000000,bottom
"C21","0.1u","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",-45.100000,-83.337500,90.000000,bottom
"C22","0.1u","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",-70.662500,-12.100000,180.000000,bottom
"C23","0.1u","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",-45.262500,-26.000000,180.000000,bottom
"C24","0.1u","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",-45.300000,-43.800000,180.000000,bottom
"C25","0.1u","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",-53.747500,-14.600000,0.000000,bottom
"C26","0.1u","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",-53.837500,-32.400000,0.000000,bottom
"C27","0.1u","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",-53.862500,-50.200000,0.000000,bottom
"C28","0.1u","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",-55.200000,-79.162500,-90.000000,bottom
"C29","0.1u","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",-57.962500,-14.600000,180.000000,bottom
"C30","0.1u","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",-57.962500,-32.400000,180.000000,bottom
"C31","0.1u","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",-57.937500,-50.200000,180.000000,bottom
"C32","0.1u","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",-84.100000,-89.837500,-90.000000,bottom
"C33","0.1u","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",-55.200000,-83.337500,90.000000,bottom
"C34","0.1u","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",-92.300000,-13.200000,0.000000,bottom
"C35","0.1u","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",-26.100000,-81.000000,-90.000000,bottom
"C36","0.1u","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",-13.300000,-81.000000,-90.000000,bottom
"C37","0.1u","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",-3.810000,-68.580000,0.000000,bottom
"C40","10p","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",-3.810000,-66.900000,0.000000,bottom
"R2","10k","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",-11.312500,-39.100000,0.000000,bottom
"R3","10k","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",-28.900000,-53.175000,90.000000,bottom
"R4","10k","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",-31.700000,-53.087500,90.000000,bottom
"R5","10k","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",-53.340000,-70.187500,90.000000,bottom
"R6","10k","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",-43.200000,-70.187500,90.000000,bottom
"R7","10k","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",-34.400000,-86.400000,-90.000000,bottom
"R8","10k","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",-32.900000,-86.400000,-90.000000,bottom
"R9","10k","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",-31.400000,-86.400000,-90.000000,bottom
"R10","10k","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",-29.900000,-86.400000,-90.000000,bottom
"R11","10k","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",-30.300000,-76.700000,-90.000000,bottom
"R12","10k","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",-28.800000,-76.700000,-90.000000,bottom
